'H','X20180228RPOS36701A','02/28/2018 12:03','AR','ITEM_XREF',174
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443551',2,'0000000000001402180002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443568',2,'0000000000001402180003'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443377',2,'0000000000001402190001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443384',2,'0000000000001402190002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443469',2,'0000000000001402200001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443476',2,'0000000000001402200002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554143',2,'0000000000001402210001'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554150',2,'0000000000001402210002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554167',2,'0000000000001402210003'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554396',2,'0000000000001402220001'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554402',2,'0000000000001402220002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554426',2,'0000000000001402230001'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554433',2,'0000000000001402230002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554440',2,'0000000000001402230003'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341555232',2,'0000000000001402240001'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341555119',2,'0000000000001402240002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341555126',2,'0000000000001402240003'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341555133',2,'0000000000001402240004'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341555140',2,'0000000000001402240005'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341555157',2,'0000000000001402240006'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341555966',2,'0000000000001402250001'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341555973',2,'0000000000001402250002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341555980',2,'0000000000001402250003'
'X','X20180228RPOS36701A','02/28/2018 12:03','810594030020',2,'0000000000001402260001'
'X','X20180228RPOS36701A','02/28/2018 12:03','810594030082',2,'0000000000001402270001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443575',2,'0000000000001402310001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443582',2,'0000000000001402310002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443599',2,'0000000000001402310003'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443612',2,'0000000000001402320001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443629',2,'0000000000001402320002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443636',2,'0000000000001402320003'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443735',2,'0000000000001402330001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443742',2,'0000000000001402330002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443674',2,'0000000000001402340001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443681',2,'0000000000001402340002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443698',2,'0000000000001402340003'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443643',2,'0000000000001402350001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443650',2,'0000000000001402350002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443667',2,'0000000000001402350003'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443766',2,'0000000000001402360001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443773',2,'0000000000001402360002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443780',2,'0000000000001402360003'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443704',2,'0000000000001402370001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443711',2,'0000000000001402370002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443797',2,'0000000000001402380001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443803',2,'0000000000001402380002'
'X','X20180228RPOS36701A','02/28/2018 12:03','638170379406',2,'0000000000008897010001'
'X','X20180228RPOS36701A','02/28/2018 12:03','638170379413',2,'0000000000008897010002'
'X','X20180228RPOS36701A','02/28/2018 12:03','638170379420',2,'0000000000008897010003'
